source;campaign_id;adset_id;ad_id;date;spend;impressions;clicks;installs;registrations;timestamp
google;goog_camp_001;goog_adset_001;goog_ad_001;02.01.2024;3.625;90;0;0;0;2024-01-02 03:08:00 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;02.01.2024;7.25;180;1;0;0;2024-01-02 13:35:29 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;02.01.2024;10.875;271;2;0;0;2024-01-03 00:14:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;12.9314;322;2;0;0;2024-01-03 00:41:00 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;14.9878;374;2;0;0;2024-01-03 05:23:47 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;17.0442;425;3;0;0;2024-01-03 10:00:35 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;19.1006;477;3;0;0;2024-01-03 14:44:23 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;21.157;528;3;0;0;2024-01-03 19:30:11 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;03.01.2024;23.2134;580;4;1;1;2024-01-04 00:06:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;04.01.2024;31.2242;780;5;1;1;2024-01-04 01:30:00 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;04.01.2024;39.2349;980;7;2;2;2024-01-04 12:42:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;04.01.2024;47.2457;1181;9;3;3;2024-01-05 00:07:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;05.01.2024;53.0238;1325;10;3;3;2024-01-05 03:23:00 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;05.01.2024;58.8018;1469;11;3;3;2024-01-05 08:29:29 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;05.01.2024;64.5799;1614;12;4;4;2024-01-05 13:46:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;05.01.2024;70.3579;1758;13;4;4;2024-01-05 19:03:29 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;05.01.2024;76.136;1903;15;5;5;2024-01-06 00:10:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;06.01.2024;81.805;2044;16;5;5;2024-01-06 03:23:00 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;06.01.2024;87.474;2186;17;5;5;2024-01-06 08:25:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;06.01.2024;93.143;2328;18;6;6;2024-01-06 13:45:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;06.01.2024;98.812;2470;19;6;6;2024-01-06 18:58:59 UTC
google;goog_camp_001;goog_adset_001;goog_ad_001;06.01.2024;104.481;2612;20;7;7;2024-01-07 00:06:59 UTC
